"(row, OceanActionID)",sdg,sdg_count,trg,trg_count,sdg-trg,trg-sdg
"(866, '20784')",['14'],1,['14'],1,[],[]
"(867, '18217')",['01' '02' '05' '08' '09' '14' '17'],7,['01' '05' '14'],3,['02' '08' '09' '17'],[]
"(868, '15175')",['02' '04' '06' '13' '14' '15'],6,['02' '04' '06' '13' '14' '15'],6,[],[]
"(869, '16607')",['13' '14' '15'],3,['13' '14' '15'],3,[],[]
"(870, '17254')",['14'],1,['14'],1,[],[]
"(871, '17262')",['14'],1,['14'],1,[],[]
"(872, '20309')",['14'],1,['14'],1,[],[]
"(873, '19373')",['14' '17'],2,['14' '17'],2,[],[]
"(874, '19293')",['14'],1,['14'],1,[],[]
"(875, '21080')",['06' '11' '12' '14'],4,['06' '11' '12' '14'],4,[],[]
"(876, '16246')",['01' '06' '11' '12' '13' '14' '15' '16'],8,['01' '06' '11' '12' '13' '14'],6,['15' '16'],[]
"(877, '19529')",['01' '02' '08' '10' '12' '13' '14'],7,['14'],1,['01' '02' '08' '10' '12' '13'],[]
"(878, '20488')",['08' '13' '14'],3,['08' '13' '14'],3,[],[]
"(879, '19379')",['14'],1,['14'],1,[],[]
"(880, '20928')",['14'],1,['14'],1,[],[]
"(881, '19343')",['14'],1,['14'],1,[],[]
"(882, '20400')",['14'],1,['14'],1,[],[]
"(883, '20532')",['14'],1,['14'],1,[],[]
"(884, '17610')",['06' '12' '14'],3,['06' '12' '14'],3,[],[]
"(885, '17680')",['06' '14'],2,['06' '14'],2,[],[]
"(886, '17671')",['14'],1,['14'],1,[],[]
"(887, '15629')",['14'],1,['14'],1,[],[]
"(888, '17322')",['14'],1,['14'],1,[],[]
"(889, '14415')",['12' '14'],2,['12' '14'],2,[],[]
"(890, '17518')",['06' '12' '14'],3,['14'],1,['06' '12'],[]
"(891, '20832')",['14'],1,['14'],1,[],[]
"(892, '17764')",['12' '14' '17'],3,['12' '14' '17'],3,[],[]
"(893, '19153')",['02' '12' '14'],3,['14'],1,['02' '12'],[]
"(894, '19173')",['14'],1,['14'],1,[],[]
"(895, '16262')",['14'],1,['14'],1,[],[]
"(896, '16230')",['01' '14'],2,['01' '14'],2,[],[]
"(897, '18463')",['14'],1,['14'],1,[],[]
"(898, '19484')",['14' '16'],2,['14' '16'],2,[],[]
"(899, '16616')",['14'],1,['14'],1,[],[]
